ground,sintetic,segmentation,bingmap
CVUSA_subset\streetview\0000208.jpg,BLURRED_name_train\0000208_generated.png,TRAIN_SEGMENTED\0000208_generated_segmented.png,CVUSA_subset\bingmap\input0000208.png
CVUSA_subset\streetview\0000222.jpg,BLURRED_name_train\0000222_generated.png,TRAIN_SEGMENTED\0000222_generated_segmented.png,CVUSA_subset\bingmap\input0000222.png
CVUSA_subset\streetview\0000227.jpg,BLURRED_name_train\0000227_generated.png,TRAIN_SEGMENTED\0000227_generated_segmented.png,CVUSA_subset\bingmap\input0000227.png
CVUSA_subset\streetview\0000254.jpg,BLURRED_name_train\0000254_generated.png,TRAIN_SEGMENTED\0000254_generated_segmented.png,CVUSA_subset\bingmap\input0000254.png
CVUSA_subset\streetview\0000258.jpg,BLURRED_name_train\0000258_generated.png,TRAIN_SEGMENTED\0000258_generated_segmented.png,CVUSA_subset\bingmap\input0000258.png
CVUSA_subset\streetview\0000276.jpg,BLURRED_name_train\0000276_generated.png,TRAIN_SEGMENTED\0000276_generated_segmented.png,CVUSA_subset\bingmap\input0000276.png
CVUSA_subset\streetview\0000277.jpg,BLURRED_name_train\0000277_generated.png,TRAIN_SEGMENTED\0000277_generated_segmented.png,CVUSA_subset\bingmap\input0000277.png
CVUSA_subset\streetview\0000310.jpg,BLURRED_name_train\0000310_generated.png,TRAIN_SEGMENTED\0000310_generated_segmented.png,CVUSA_subset\bingmap\input0000310.png
CVUSA_subset\streetview\0000315.jpg,BLURRED_name_train\0000315_generated.png,TRAIN_SEGMENTED\0000315_generated_segmented.png,CVUSA_subset\bingmap\input0000315.png
CVUSA_subset\streetview\0000322.jpg,BLURRED_name_train\0000322_generated.png,TRAIN_SEGMENTED\0000322_generated_segmented.png,CVUSA_subset\bingmap\input0000322.png
CVUSA_subset\streetview\0000325.jpg,BLURRED_name_train\0000325_generated.png,TRAIN_SEGMENTED\0000325_generated_segmented.png,CVUSA_subset\bingmap\input0000325.png
CVUSA_subset\streetview\0000331.jpg,BLURRED_name_train\0000331_generated.png,TRAIN_SEGMENTED\0000331_generated_segmented.png,CVUSA_subset\bingmap\input0000331.png
CVUSA_subset\streetview\0000344.jpg,BLURRED_name_train\0000344_generated.png,TRAIN_SEGMENTED\0000344_generated_segmented.png,CVUSA_subset\bingmap\input0000344.png
CVUSA_subset\streetview\0000345.jpg,BLURRED_name_train\0000345_generated.png,TRAIN_SEGMENTED\0000345_generated_segmented.png,CVUSA_subset\bingmap\input0000345.png
CVUSA_subset\streetview\0000346.jpg,BLURRED_name_train\0000346_generated.png,TRAIN_SEGMENTED\0000346_generated_segmented.png,CVUSA_subset\bingmap\input0000346.png
CVUSA_subset\streetview\0000348.jpg,BLURRED_name_train\0000348_generated.png,TRAIN_SEGMENTED\0000348_generated_segmented.png,CVUSA_subset\bingmap\input0000348.png
CVUSA_subset\streetview\0000356.jpg,BLURRED_name_train\0000356_generated.png,TRAIN_SEGMENTED\0000356_generated_segmented.png,CVUSA_subset\bingmap\input0000356.png
CVUSA_subset\streetview\0000358.jpg,BLURRED_name_train\0000358_generated.png,TRAIN_SEGMENTED\0000358_generated_segmented.png,CVUSA_subset\bingmap\input0000358.png
CVUSA_subset\streetview\0000360.jpg,BLURRED_name_train\0000360_generated.png,TRAIN_SEGMENTED\0000360_generated_segmented.png,CVUSA_subset\bingmap\input0000360.png
CVUSA_subset\streetview\0000362.jpg,BLURRED_name_train\0000362_generated.png,TRAIN_SEGMENTED\0000362_generated_segmented.png,CVUSA_subset\bingmap\input0000362.png
CVUSA_subset\streetview\0000367.jpg,BLURRED_name_train\0000367_generated.png,TRAIN_SEGMENTED\0000367_generated_segmented.png,CVUSA_subset\bingmap\input0000367.png
CVUSA_subset\streetview\0000377.jpg,BLURRED_name_train\0000377_generated.png,TRAIN_SEGMENTED\0000377_generated_segmented.png,CVUSA_subset\bingmap\input0000377.png
CVUSA_subset\streetview\0000381.jpg,BLURRED_name_train\0000381_generated.png,TRAIN_SEGMENTED\0000381_generated_segmented.png,CVUSA_subset\bingmap\input0000381.png
CVUSA_subset\streetview\0000390.jpg,BLURRED_name_train\0000390_generated.png,TRAIN_SEGMENTED\0000390_generated_segmented.png,CVUSA_subset\bingmap\input0000390.png
CVUSA_subset\streetview\0000408.jpg,BLURRED_name_train\0000408_generated.png,TRAIN_SEGMENTED\0000408_generated_segmented.png,CVUSA_subset\bingmap\input0000408.png
CVUSA_subset\streetview\0000410.jpg,BLURRED_name_train\0000410_generated.png,TRAIN_SEGMENTED\0000410_generated_segmented.png,CVUSA_subset\bingmap\input0000410.png
CVUSA_subset\streetview\0000416.jpg,BLURRED_name_train\0000416_generated.png,TRAIN_SEGMENTED\0000416_generated_segmented.png,CVUSA_subset\bingmap\input0000416.png
CVUSA_subset\streetview\0000419.jpg,BLURRED_name_train\0000419_generated.png,TRAIN_SEGMENTED\0000419_generated_segmented.png,CVUSA_subset\bingmap\input0000419.png
CVUSA_subset\streetview\0000425.jpg,BLURRED_name_train\0000425_generated.png,TRAIN_SEGMENTED\0000425_generated_segmented.png,CVUSA_subset\bingmap\input0000425.png
CVUSA_subset\streetview\0000426.jpg,BLURRED_name_train\0000426_generated.png,TRAIN_SEGMENTED\0000426_generated_segmented.png,CVUSA_subset\bingmap\input0000426.png
CVUSA_subset\streetview\0000431.jpg,BLURRED_name_train\0000431_generated.png,TRAIN_SEGMENTED\0000431_generated_segmented.png,CVUSA_subset\bingmap\input0000431.png
CVUSA_subset\streetview\0000432.jpg,BLURRED_name_train\0000432_generated.png,TRAIN_SEGMENTED\0000432_generated_segmented.png,CVUSA_subset\bingmap\input0000432.png
CVUSA_subset\streetview\0000433.jpg,BLURRED_name_train\0000433_generated.png,TRAIN_SEGMENTED\0000433_generated_segmented.png,CVUSA_subset\bingmap\input0000433.png
CVUSA_subset\streetview\0000444.jpg,BLURRED_name_train\0000444_generated.png,TRAIN_SEGMENTED\0000444_generated_segmented.png,CVUSA_subset\bingmap\input0000444.png
CVUSA_subset\streetview\0000451.jpg,BLURRED_name_train\0000451_generated.png,TRAIN_SEGMENTED\0000451_generated_segmented.png,CVUSA_subset\bingmap\input0000451.png
CVUSA_subset\streetview\0000453.jpg,BLURRED_name_train\0000453_generated.png,TRAIN_SEGMENTED\0000453_generated_segmented.png,CVUSA_subset\bingmap\input0000453.png
CVUSA_subset\streetview\0000454.jpg,BLURRED_name_train\0000454_generated.png,TRAIN_SEGMENTED\0000454_generated_segmented.png,CVUSA_subset\bingmap\input0000454.png
CVUSA_subset\streetview\0000467.jpg,BLURRED_name_train\0000467_generated.png,TRAIN_SEGMENTED\0000467_generated_segmented.png,CVUSA_subset\bingmap\input0000467.png
CVUSA_subset\streetview\0000469.jpg,BLURRED_name_train\0000469_generated.png,TRAIN_SEGMENTED\0000469_generated_segmented.png,CVUSA_subset\bingmap\input0000469.png
CVUSA_subset\streetview\0000472.jpg,BLURRED_name_train\0000472_generated.png,TRAIN_SEGMENTED\0000472_generated_segmented.png,CVUSA_subset\bingmap\input0000472.png
CVUSA_subset\streetview\0000474.jpg,BLURRED_name_train\0000474_generated.png,TRAIN_SEGMENTED\0000474_generated_segmented.png,CVUSA_subset\bingmap\input0000474.png
CVUSA_subset\streetview\0000476.jpg,BLURRED_name_train\0000476_generated.png,TRAIN_SEGMENTED\0000476_generated_segmented.png,CVUSA_subset\bingmap\input0000476.png
CVUSA_subset\streetview\0000494.jpg,BLURRED_name_train\0000494_generated.png,TRAIN_SEGMENTED\0000494_generated_segmented.png,CVUSA_subset\bingmap\input0000494.png
CVUSA_subset\streetview\0000498.jpg,BLURRED_name_train\0000498_generated.png,TRAIN_SEGMENTED\0000498_generated_segmented.png,CVUSA_subset\bingmap\input0000498.png
CVUSA_subset\streetview\0000507.jpg,BLURRED_name_train\0000507_generated.png,TRAIN_SEGMENTED\0000507_generated_segmented.png,CVUSA_subset\bingmap\input0000507.png
CVUSA_subset\streetview\0000514.jpg,BLURRED_name_train\0000514_generated.png,TRAIN_SEGMENTED\0000514_generated_segmented.png,CVUSA_subset\bingmap\input0000514.png
CVUSA_subset\streetview\0000515.jpg,BLURRED_name_train\0000515_generated.png,TRAIN_SEGMENTED\0000515_generated_segmented.png,CVUSA_subset\bingmap\input0000515.png
CVUSA_subset\streetview\0000521.jpg,BLURRED_name_train\0000521_generated.png,TRAIN_SEGMENTED\0000521_generated_segmented.png,CVUSA_subset\bingmap\input0000521.png
CVUSA_subset\streetview\0000522.jpg,BLURRED_name_train\0000522_generated.png,TRAIN_SEGMENTED\0000522_generated_segmented.png,CVUSA_subset\bingmap\input0000522.png
CVUSA_subset\streetview\0000526.jpg,BLURRED_name_train\0000526_generated.png,TRAIN_SEGMENTED\0000526_generated_segmented.png,CVUSA_subset\bingmap\input0000526.png
CVUSA_subset\streetview\0000540.jpg,BLURRED_name_train\0000540_generated.png,TRAIN_SEGMENTED\0000540_generated_segmented.png,CVUSA_subset\bingmap\input0000540.png
CVUSA_subset\streetview\0000544.jpg,BLURRED_name_train\0000544_generated.png,TRAIN_SEGMENTED\0000544_generated_segmented.png,CVUSA_subset\bingmap\input0000544.png
CVUSA_subset\streetview\0000552.jpg,BLURRED_name_train\0000552_generated.png,TRAIN_SEGMENTED\0000552_generated_segmented.png,CVUSA_subset\bingmap\input0000552.png
CVUSA_subset\streetview\0000556.jpg,BLURRED_name_train\0000556_generated.png,TRAIN_SEGMENTED\0000556_generated_segmented.png,CVUSA_subset\bingmap\input0000556.png
CVUSA_subset\streetview\0000563.jpg,BLURRED_name_train\0000563_generated.png,TRAIN_SEGMENTED\0000563_generated_segmented.png,CVUSA_subset\bingmap\input0000563.png
CVUSA_subset\streetview\0000572.jpg,BLURRED_name_train\0000572_generated.png,TRAIN_SEGMENTED\0000572_generated_segmented.png,CVUSA_subset\bingmap\input0000572.png
CVUSA_subset\streetview\0000575.jpg,BLURRED_name_train\0000575_generated.png,TRAIN_SEGMENTED\0000575_generated_segmented.png,CVUSA_subset\bingmap\input0000575.png
CVUSA_subset\streetview\0000585.jpg,BLURRED_name_train\0000585_generated.png,TRAIN_SEGMENTED\0000585_generated_segmented.png,CVUSA_subset\bingmap\input0000585.png
CVUSA_subset\streetview\0000586.jpg,BLURRED_name_train\0000586_generated.png,TRAIN_SEGMENTED\0000586_generated_segmented.png,CVUSA_subset\bingmap\input0000586.png
CVUSA_subset\streetview\0000598.jpg,BLURRED_name_train\0000598_generated.png,TRAIN_SEGMENTED\0000598_generated_segmented.png,CVUSA_subset\bingmap\input0000598.png
CVUSA_subset\streetview\0000615.jpg,BLURRED_name_train\0000615_generated.png,TRAIN_SEGMENTED\0000615_generated_segmented.png,CVUSA_subset\bingmap\input0000615.png
CVUSA_subset\streetview\0000633.jpg,BLURRED_name_train\0000633_generated.png,TRAIN_SEGMENTED\0000633_generated_segmented.png,CVUSA_subset\bingmap\input0000633.png
CVUSA_subset\streetview\0000649.jpg,BLURRED_name_train\0000649_generated.png,TRAIN_SEGMENTED\0000649_generated_segmented.png,CVUSA_subset\bingmap\input0000649.png
CVUSA_subset\streetview\0000654.jpg,BLURRED_name_train\0000654_generated.png,TRAIN_SEGMENTED\0000654_generated_segmented.png,CVUSA_subset\bingmap\input0000654.png
CVUSA_subset\streetview\0000668.jpg,BLURRED_name_train\0000668_generated.png,TRAIN_SEGMENTED\0000668_generated_segmented.png,CVUSA_subset\bingmap\input0000668.png
CVUSA_subset\streetview\0000669.jpg,BLURRED_name_train\0000669_generated.png,TRAIN_SEGMENTED\0000669_generated_segmented.png,CVUSA_subset\bingmap\input0000669.png
CVUSA_subset\streetview\0000689.jpg,BLURRED_name_train\0000689_generated.png,TRAIN_SEGMENTED\0000689_generated_segmented.png,CVUSA_subset\bingmap\input0000689.png
CVUSA_subset\streetview\0000701.jpg,BLURRED_name_train\0000701_generated.png,TRAIN_SEGMENTED\0000701_generated_segmented.png,CVUSA_subset\bingmap\input0000701.png
CVUSA_subset\streetview\0000709.jpg,BLURRED_name_train\0000709_generated.png,TRAIN_SEGMENTED\0000709_generated_segmented.png,CVUSA_subset\bingmap\input0000709.png
CVUSA_subset\streetview\0000716.jpg,BLURRED_name_train\0000716_generated.png,TRAIN_SEGMENTED\0000716_generated_segmented.png,CVUSA_subset\bingmap\input0000716.png
CVUSA_subset\streetview\0000720.jpg,BLURRED_name_train\0000720_generated.png,TRAIN_SEGMENTED\0000720_generated_segmented.png,CVUSA_subset\bingmap\input0000720.png
CVUSA_subset\streetview\0000732.jpg,BLURRED_name_train\0000732_generated.png,TRAIN_SEGMENTED\0000732_generated_segmented.png,CVUSA_subset\bingmap\input0000732.png
CVUSA_subset\streetview\0000735.jpg,BLURRED_name_train\0000735_generated.png,TRAIN_SEGMENTED\0000735_generated_segmented.png,CVUSA_subset\bingmap\input0000735.png
CVUSA_subset\streetview\0000744.jpg,BLURRED_name_train\0000744_generated.png,TRAIN_SEGMENTED\0000744_generated_segmented.png,CVUSA_subset\bingmap\input0000744.png
CVUSA_subset\streetview\0000751.jpg,BLURRED_name_train\0000751_generated.png,TRAIN_SEGMENTED\0000751_generated_segmented.png,CVUSA_subset\bingmap\input0000751.png
CVUSA_subset\streetview\0000757.jpg,BLURRED_name_train\0000757_generated.png,TRAIN_SEGMENTED\0000757_generated_segmented.png,CVUSA_subset\bingmap\input0000757.png
CVUSA_subset\streetview\0000765.jpg,BLURRED_name_train\0000765_generated.png,TRAIN_SEGMENTED\0000765_generated_segmented.png,CVUSA_subset\bingmap\input0000765.png
CVUSA_subset\streetview\0000766.jpg,BLURRED_name_train\0000766_generated.png,TRAIN_SEGMENTED\0000766_generated_segmented.png,CVUSA_subset\bingmap\input0000766.png
CVUSA_subset\streetview\0000781.jpg,BLURRED_name_train\0000781_generated.png,TRAIN_SEGMENTED\0000781_generated_segmented.png,CVUSA_subset\bingmap\input0000781.png
CVUSA_subset\streetview\0000790.jpg,BLURRED_name_train\0000790_generated.png,TRAIN_SEGMENTED\0000790_generated_segmented.png,CVUSA_subset\bingmap\input0000790.png
CVUSA_subset\streetview\0000816.jpg,BLURRED_name_train\0000816_generated.png,TRAIN_SEGMENTED\0000816_generated_segmented.png,CVUSA_subset\bingmap\input0000816.png
CVUSA_subset\streetview\0000817.jpg,BLURRED_name_train\0000817_generated.png,TRAIN_SEGMENTED\0000817_generated_segmented.png,CVUSA_subset\bingmap\input0000817.png
CVUSA_subset\streetview\0000826.jpg,BLURRED_name_train\0000826_generated.png,TRAIN_SEGMENTED\0000826_generated_segmented.png,CVUSA_subset\bingmap\input0000826.png
CVUSA_subset\streetview\0000828.jpg,BLURRED_name_train\0000828_generated.png,TRAIN_SEGMENTED\0000828_generated_segmented.png,CVUSA_subset\bingmap\input0000828.png
CVUSA_subset\streetview\0000830.jpg,BLURRED_name_train\0000830_generated.png,TRAIN_SEGMENTED\0000830_generated_segmented.png,CVUSA_subset\bingmap\input0000830.png
CVUSA_subset\streetview\0000845.jpg,BLURRED_name_train\0000845_generated.png,TRAIN_SEGMENTED\0000845_generated_segmented.png,CVUSA_subset\bingmap\input0000845.png
CVUSA_subset\streetview\0000846.jpg,BLURRED_name_train\0000846_generated.png,TRAIN_SEGMENTED\0000846_generated_segmented.png,CVUSA_subset\bingmap\input0000846.png
CVUSA_subset\streetview\0000849.jpg,BLURRED_name_train\0000849_generated.png,TRAIN_SEGMENTED\0000849_generated_segmented.png,CVUSA_subset\bingmap\input0000849.png
CVUSA_subset\streetview\0000851.jpg,BLURRED_name_train\0000851_generated.png,TRAIN_SEGMENTED\0000851_generated_segmented.png,CVUSA_subset\bingmap\input0000851.png
CVUSA_subset\streetview\0000856.jpg,BLURRED_name_train\0000856_generated.png,TRAIN_SEGMENTED\0000856_generated_segmented.png,CVUSA_subset\bingmap\input0000856.png
CVUSA_subset\streetview\0000863.jpg,BLURRED_name_train\0000863_generated.png,TRAIN_SEGMENTED\0000863_generated_segmented.png,CVUSA_subset\bingmap\input0000863.png
CVUSA_subset\streetview\0000871.jpg,BLURRED_name_train\0000871_generated.png,TRAIN_SEGMENTED\0000871_generated_segmented.png,CVUSA_subset\bingmap\input0000871.png
CVUSA_subset\streetview\0000896.jpg,BLURRED_name_train\0000896_generated.png,TRAIN_SEGMENTED\0000896_generated_segmented.png,CVUSA_subset\bingmap\input0000896.png
CVUSA_subset\streetview\0000898.jpg,BLURRED_name_train\0000898_generated.png,TRAIN_SEGMENTED\0000898_generated_segmented.png,CVUSA_subset\bingmap\input0000898.png
CVUSA_subset\streetview\0000902.jpg,BLURRED_name_train\0000902_generated.png,TRAIN_SEGMENTED\0000902_generated_segmented.png,CVUSA_subset\bingmap\input0000902.png
CVUSA_subset\streetview\0000908.jpg,BLURRED_name_train\0000908_generated.png,TRAIN_SEGMENTED\0000908_generated_segmented.png,CVUSA_subset\bingmap\input0000908.png
CVUSA_subset\streetview\0000928.jpg,BLURRED_name_train\0000928_generated.png,TRAIN_SEGMENTED\0000928_generated_segmented.png,CVUSA_subset\bingmap\input0000928.png
CVUSA_subset\streetview\0000931.jpg,BLURRED_name_train\0000931_generated.png,TRAIN_SEGMENTED\0000931_generated_segmented.png,CVUSA_subset\bingmap\input0000931.png
CVUSA_subset\streetview\0000934.jpg,BLURRED_name_train\0000934_generated.png,TRAIN_SEGMENTED\0000934_generated_segmented.png,CVUSA_subset\bingmap\input0000934.png
CVUSA_subset\streetview\0000935.jpg,BLURRED_name_train\0000935_generated.png,TRAIN_SEGMENTED\0000935_generated_segmented.png,CVUSA_subset\bingmap\input0000935.png
CVUSA_subset\streetview\0000936.jpg,BLURRED_name_train\0000936_generated.png,TRAIN_SEGMENTED\0000936_generated_segmented.png,CVUSA_subset\bingmap\input0000936.png
CVUSA_subset\streetview\0000941.jpg,BLURRED_name_train\0000941_generated.png,TRAIN_SEGMENTED\0000941_generated_segmented.png,CVUSA_subset\bingmap\input0000941.png
CVUSA_subset\streetview\0000944.jpg,BLURRED_name_train\0000944_generated.png,TRAIN_SEGMENTED\0000944_generated_segmented.png,CVUSA_subset\bingmap\input0000944.png
CVUSA_subset\streetview\0000963.jpg,BLURRED_name_train\0000963_generated.png,TRAIN_SEGMENTED\0000963_generated_segmented.png,CVUSA_subset\bingmap\input0000963.png
CVUSA_subset\streetview\0000964.jpg,BLURRED_name_train\0000964_generated.png,TRAIN_SEGMENTED\0000964_generated_segmented.png,CVUSA_subset\bingmap\input0000964.png
CVUSA_subset\streetview\0000967.jpg,BLURRED_name_train\0000967_generated.png,TRAIN_SEGMENTED\0000967_generated_segmented.png,CVUSA_subset\bingmap\input0000967.png
CVUSA_subset\streetview\0000973.jpg,BLURRED_name_train\0000973_generated.png,TRAIN_SEGMENTED\0000973_generated_segmented.png,CVUSA_subset\bingmap\input0000973.png
CVUSA_subset\streetview\0000979.jpg,BLURRED_name_train\0000979_generated.png,TRAIN_SEGMENTED\0000979_generated_segmented.png,CVUSA_subset\bingmap\input0000979.png
CVUSA_subset\streetview\0000982.jpg,BLURRED_name_train\0000982_generated.png,TRAIN_SEGMENTED\0000982_generated_segmented.png,CVUSA_subset\bingmap\input0000982.png
CVUSA_subset\streetview\0000984.jpg,BLURRED_name_train\0000984_generated.png,TRAIN_SEGMENTED\0000984_generated_segmented.png,CVUSA_subset\bingmap\input0000984.png
CVUSA_subset\streetview\0000988.jpg,BLURRED_name_train\0000988_generated.png,TRAIN_SEGMENTED\0000988_generated_segmented.png,CVUSA_subset\bingmap\input0000988.png
CVUSA_subset\streetview\0001001.jpg,BLURRED_name_train\0001001_generated.png,TRAIN_SEGMENTED\0001001_generated_segmented.png,CVUSA_subset\bingmap\input0001001.png
CVUSA_subset\streetview\0001011.jpg,BLURRED_name_train\0001011_generated.png,TRAIN_SEGMENTED\0001011_generated_segmented.png,CVUSA_subset\bingmap\input0001011.png
CVUSA_subset\streetview\0001026.jpg,BLURRED_name_train\0001026_generated.png,TRAIN_SEGMENTED\0001026_generated_segmented.png,CVUSA_subset\bingmap\input0001026.png
CVUSA_subset\streetview\0001027.jpg,BLURRED_name_train\0001027_generated.png,TRAIN_SEGMENTED\0001027_generated_segmented.png,CVUSA_subset\bingmap\input0001027.png
CVUSA_subset\streetview\0001032.jpg,BLURRED_name_train\0001032_generated.png,TRAIN_SEGMENTED\0001032_generated_segmented.png,CVUSA_subset\bingmap\input0001032.png
CVUSA_subset\streetview\0001034.jpg,BLURRED_name_train\0001034_generated.png,TRAIN_SEGMENTED\0001034_generated_segmented.png,CVUSA_subset\bingmap\input0001034.png
CVUSA_subset\streetview\0001056.jpg,BLURRED_name_train\0001056_generated.png,TRAIN_SEGMENTED\0001056_generated_segmented.png,CVUSA_subset\bingmap\input0001056.png
CVUSA_subset\streetview\0001071.jpg,BLURRED_name_train\0001071_generated.png,TRAIN_SEGMENTED\0001071_generated_segmented.png,CVUSA_subset\bingmap\input0001071.png
CVUSA_subset\streetview\0001093.jpg,BLURRED_name_train\0001093_generated.png,TRAIN_SEGMENTED\0001093_generated_segmented.png,CVUSA_subset\bingmap\input0001093.png
CVUSA_subset\streetview\0001115.jpg,BLURRED_name_train\0001115_generated.png,TRAIN_SEGMENTED\0001115_generated_segmented.png,CVUSA_subset\bingmap\input0001115.png
CVUSA_subset\streetview\0001119.jpg,BLURRED_name_train\0001119_generated.png,TRAIN_SEGMENTED\0001119_generated_segmented.png,CVUSA_subset\bingmap\input0001119.png
CVUSA_subset\streetview\0001124.jpg,BLURRED_name_train\0001124_generated.png,TRAIN_SEGMENTED\0001124_generated_segmented.png,CVUSA_subset\bingmap\input0001124.png
CVUSA_subset\streetview\0001129.jpg,BLURRED_name_train\0001129_generated.png,TRAIN_SEGMENTED\0001129_generated_segmented.png,CVUSA_subset\bingmap\input0001129.png
CVUSA_subset\streetview\0001142.jpg,BLURRED_name_train\0001142_generated.png,TRAIN_SEGMENTED\0001142_generated_segmented.png,CVUSA_subset\bingmap\input0001142.png
CVUSA_subset\streetview\0001148.jpg,BLURRED_name_train\0001148_generated.png,TRAIN_SEGMENTED\0001148_generated_segmented.png,CVUSA_subset\bingmap\input0001148.png
CVUSA_subset\streetview\0001149.jpg,BLURRED_name_train\0001149_generated.png,TRAIN_SEGMENTED\0001149_generated_segmented.png,CVUSA_subset\bingmap\input0001149.png
CVUSA_subset\streetview\0001162.jpg,BLURRED_name_train\0001162_generated.png,TRAIN_SEGMENTED\0001162_generated_segmented.png,CVUSA_subset\bingmap\input0001162.png
CVUSA_subset\streetview\0001164.jpg,BLURRED_name_train\0001164_generated.png,TRAIN_SEGMENTED\0001164_generated_segmented.png,CVUSA_subset\bingmap\input0001164.png
CVUSA_subset\streetview\0001180.jpg,BLURRED_name_train\0001180_generated.png,TRAIN_SEGMENTED\0001180_generated_segmented.png,CVUSA_subset\bingmap\input0001180.png
CVUSA_subset\streetview\0001188.jpg,BLURRED_name_train\0001188_generated.png,TRAIN_SEGMENTED\0001188_generated_segmented.png,CVUSA_subset\bingmap\input0001188.png
CVUSA_subset\streetview\0001196.jpg,BLURRED_name_train\0001196_generated.png,TRAIN_SEGMENTED\0001196_generated_segmented.png,CVUSA_subset\bingmap\input0001196.png
CVUSA_subset\streetview\0001204.jpg,BLURRED_name_train\0001204_generated.png,TRAIN_SEGMENTED\0001204_generated_segmented.png,CVUSA_subset\bingmap\input0001204.png
CVUSA_subset\streetview\0001206.jpg,BLURRED_name_train\0001206_generated.png,TRAIN_SEGMENTED\0001206_generated_segmented.png,CVUSA_subset\bingmap\input0001206.png
CVUSA_subset\streetview\0001215.jpg,BLURRED_name_train\0001215_generated.png,TRAIN_SEGMENTED\0001215_generated_segmented.png,CVUSA_subset\bingmap\input0001215.png
CVUSA_subset\streetview\0001229.jpg,BLURRED_name_train\0001229_generated.png,TRAIN_SEGMENTED\0001229_generated_segmented.png,CVUSA_subset\bingmap\input0001229.png
CVUSA_subset\streetview\0001230.jpg,BLURRED_name_train\0001230_generated.png,TRAIN_SEGMENTED\0001230_generated_segmented.png,CVUSA_subset\bingmap\input0001230.png
CVUSA_subset\streetview\0001236.jpg,BLURRED_name_train\0001236_generated.png,TRAIN_SEGMENTED\0001236_generated_segmented.png,CVUSA_subset\bingmap\input0001236.png
CVUSA_subset\streetview\0001242.jpg,BLURRED_name_train\0001242_generated.png,TRAIN_SEGMENTED\0001242_generated_segmented.png,CVUSA_subset\bingmap\input0001242.png
CVUSA_subset\streetview\0001245.jpg,BLURRED_name_train\0001245_generated.png,TRAIN_SEGMENTED\0001245_generated_segmented.png,CVUSA_subset\bingmap\input0001245.png
CVUSA_subset\streetview\0001254.jpg,BLURRED_name_train\0001254_generated.png,TRAIN_SEGMENTED\0001254_generated_segmented.png,CVUSA_subset\bingmap\input0001254.png
